time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-06-24 15:04:07.512 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,364397539328,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1687619047353,,, , , , , , , , , ,3145728,1377,11,11,5,11, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,7,21,36526416,4, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-24 15:05:07.521 UTC, , , , , , , , , ,589,3189901,42912,672, ,7, ,27, , , , , , , , , ,7,7, , , , ,3,9, ,3, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,37622,365470044160,30,30,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,37622,1687619047353,,, , , , , , , , , ,3145728,37595,6,6,4,6, , , ,9,9,2,9, ,3,11, , , , , , , , , , ,4096,2,36195,9, , , , , , , , ,47012176,3, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,5,3,4, ,1, , ,5, , , , 
2023-06-24 15:06:10.770 UTC, , , , , , , , , ,125,3177261,31408, , ,7, ,89,7,0.08, , , , , , , ,7,7, ,16, ,2,5,8, ,66,14, , , , , , , , , , , , , ,39676,2,37692,37692,1, ,7,14,39726,365473955840,30,30,30,30, , , , , ,5,51, , , , , , , , , , , , , , , , , , , , , , , , , ,39726,1687619170637,,, , , , , , , , , ,3145728,39676,7,7,3,7, , ,25,1,1,4,1, ,3,2, ,25, ,2048,1, , , , , ,537424,90,2104,1, , , , , , ,7,18,39513912,6, , , , , , ,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-24 15:25:16.759 UTC, , , , , , , , , ,125,3174005,28152, , ,6, ,63,6,0.10, , , , , , , ,6,6, ,7, ,2,4,7, ,54,15, , , , , , , , , , , , , ,41179,3,40181,40181,1, ,4,8,41229,365486735360,29,29,29,29, , , , , ,5,78, , , , , , , , , , , , , , , , , , , , , , , , , ,41229,1687620316618,,, , , , , , , , , ,3145728,41179,5,5,2,5, , ,29,1,1,4,1, ,3,2, ,29, ,2048,1, , , , , ,183307,50,1118,1, , , , , , ,8,20,41615488,5, , , , , , ,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-24 15:26:15.767 UTC, , , , , , , , , ,125,3174093,28240, , ,6, ,59,6,0.10, , , , , , , ,6,6, ,7, ,2,4,7, ,53,16, , , , , , , , , , , , , ,42961,4,41685,41685,1, ,5,10,43011,365485187072,28,28,28,28, , , , , ,6,96, , , , , , , , , , , , , , , , , , , , , , , , , ,43011,1687620375622,,, , , , , , , , , ,3145728,42961,9,9,4,9, , ,30,1,1,4,1, ,3,2, ,30, ,2048,1, , , , , ,199775,53,1396,1, , , , , , ,7,18,37721320,8, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-24 15:27:15.798 UTC, , , , , , , , , ,589,3189741,42752,672, ,7, ,33,1,0.03, , , , , , , ,7,7, , , ,2,3,9, ,21,10, , , , , , , , , , , , , ,42961,4,41685,41685, , , , ,43398,365494444032,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43398,1687620375622,,, , , , , , , , , ,3145728,43371,11,11,7,11, , ,12,2,2,3,2, ,3,5, ,12,1, , , , , , , ,20161,15,387,2, , , , , , , , ,50304232,6, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , ,4,1,1,1,1, ,1,4, , , , 
2023-06-24 15:28:15.814 UTC, , , , , , , , , ,589,3189741,42752,672, ,7, , , , , , , , , , , ,7,7, , , ,2,3,9, , , , , , , , , , , , , , , , ,42961,4,41685,41685, , , , ,43398,365495894016,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43398,1687620375622,,, , , , , , , , , ,3145728,43371,10,10,9,10, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,50304232,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
2023-06-24 15:29:15.821 UTC, , , , , , , , , ,589,3189741,42752,672, ,7, ,26, , , , , , , , , ,7,7, , , ,2,3,9, ,8, , , , , , , , , , , , , , ,42961,4,41685,41685, , , , ,43998,365492367360,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43998,1687620375622,,, , , , , , , , , ,3145728,43971,12,12,7,12, , , ,4,4, ,4, ,3,7, , ,1, , , , , , , , , ,600,4, , , , , , , , ,52401384,5, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-24 15:30:15.835 UTC, , , , , , , , , ,589,3189741,42752,672, ,7, , , , , , , , , , , ,7,7, , , ,2,3,9, , , , , , , , , , , , , , , , ,42961,4,41685,41685, , , , ,43998,365496078336,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43998,1687620375622,,, , , , , , , , , ,3145728,43971,11,11,8,11, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,54498536,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, , , , 
2023-06-24 15:31:15.845 UTC, , , , , , , , , ,589,3189741,42752,672, ,7, , , , , , , , , , , ,7,7, , , ,2,3,9, , , , , , , , , , , , , , , , ,42961,4,41685,41685, , , , ,43998,365491191808,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43998,1687620375622,,, , , , , , , , , ,3145728,43971,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,56595688,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , 
