time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-06-26 06:14:23.920 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,365687017472,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1687760063764,,, , , , , , , , , ,3145728,1377,10,10,5,10, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,8,19,38345912,6, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-26 06:15:23.932 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,53, , , , , , , , , ,7,7, , , , ,3,9, ,11, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,38270,365681807360,30,30,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38270,1687760063764,,, , , , , , , , , ,3145728,38243,11,11,5,11, , , ,13,13,2,13, ,3,15, , , , , , , , , , ,4096,2,36843,13, , , , , , , , ,59317432,10, , , , , , ,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5, , ,7,5,4,2,3, ,2,7, , , , 
2023-06-26 06:16:23.967 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,38870,365643382784,30,30,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,38870,1687760063764,,, , , , , , , , , ,3145728,38843,8,8,6,8, , , ,4,4, ,4, ,3,8, , , , , , , , , , , , ,600,4, , , , , , , , ,61414584,7, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 06:17:23.989 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,39470,365685039104,29,29,29,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39470,1687760063764,,, , , , , , , , , ,3145728,39443,11,11,7,11, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,600,4, , , , , , , , ,61414584,4, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 06:18:24.002 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,40070,365693714432,29,29,29,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40070,1687760063764,,, , , , , , , , , ,3145728,40043,9,9,6,9, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,600,4, , , , , , , , ,63511736,3, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 06:19:24.013 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,40670,365691506688,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40670,1687760063764,,, , , , , , , , , ,3145728,40643,10,10,6,10, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,600,4, , , , , , , , ,63511736,3, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 06:20:24.023 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,41270,364612358144,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41270,1687760063764,,, , , , , , , , , ,3145728,41243,9,9,6,9, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,600,4, , , , , , , , ,65608888,5, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,7, , , , 
2023-06-26 06:21:24.032 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,41870,364612091904,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,41870,1687760063764,,, , , , , , , , , ,3145728,41843,12,12,7,12, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,600,4, , , , , , , , ,65608888,6, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 06:22:24.011 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,42470,364610707456,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42470,1687760063764,,, , , , , , , , , ,3145728,42443,11,11,7,11, , , ,4,4, ,4, ,3,7, , , , , , , , , , , , ,600,4, , , , , , , , ,67706040,9, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
2023-06-26 06:23:24.005 UTC, , , , , , , , , ,589,3189917,42928,672, ,7, ,26, , , , , , , , , ,7,7, , , , ,3,9, ,8, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,42770,364609388544,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42770,1687760063764,,, , , , , , , , , ,3145728,43048,9,9,6,9, , , ,4,4, ,4, ,3,6, , , , , , , , , , , , ,606,4, , , , , , , , ,67706040,7, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , ,2,2, ,2,2, ,2,6, , , , 
